,Listing,Price,SQMUP,Room Info,Area,Location,Ads
116,"Luksusowy apartament z ogrodem 205 m2, jak dom.",3 600 000 ,25 751 ,5 ,139.8  ,"ul. Międzynarodowa, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",Biuro nieruchomości
117,Wyjątkowy apartament z kominkiem i ogrodem Wilanów,1 990 000 ,12 922 ,4 ,154  ,"ul. Zapłocie, Powsin, Wilanów, Warszawa, mazowieckie",Biuro nieruchomości
118,"Nowe 4-pok, wanna i prysznic!Ul.Bokserska,Mokotów!",1 599 000 ,19 620 ,4 ,81.5  ,"ul. Bokserska, Wyczółki, Ursynów, Warszawa, mazowieckie",Biuro nieruchomości
119,Przy Parku Górczewska i stacji metra Bemowo!,768 000 ,16 000 ,2 ,48  ,"Górce, Bemowo, Warszawa, mazowieckie",Biuro nieruchomości
120,"Warszawa, Śródmieście, Nowy Świat",2 600 000 ,23 636 ,4 ,110  ,"ul. Nowy Świat, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",Biuro nieruchomości
121,3 pokoje + balkon Rosy Bailly Bemowo,795 000 ,12 422 ,3 ,64  ,"ul. Rosy Bailly, Górce, Bemowo, Warszawa, mazowieckie",Biuro nieruchomości
122,Sprzedam apartament,1 500 000 ,19 587 ,4 ,76.58  ,"Stary Mokotów, Mokotów, Warszawa, mazowieckie",Biuro nieruchomości
123,"38m2 tuż przy metrze!2-pok, prysznic!Garaż.Bez Pcc",749 000 ,19 566 ,2 ,38.28  ,"ul. Szeligowska, Chrzanów, Bemowo, Warszawa, mazowieckie",Biuro nieruchomości
124,Wyjątkowa kamienica z 1913 roku z windą. METRO,919 000 ,23 384 ,2 ,39.3  ,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",Biuro nieruchomości
125,Wyjątkowa kamienica z 1913 roku z windą. Metro,919 000 ,23 384 ,2 ,39.3  ,"ul. Grodzka, Stara Praga, Praga-Północ, Warszawa, mazowieckie",Biuro nieruchomości
126,4 pokoje*Stary Mokotów*Kamienica*Metro,1 542 143 ,16 300 ,4 ,94.61  ,"ul. Jarosława Dąbrowskiego, Stary Mokotów, Mokotów, Warszawa, mazowieckie",Biuro nieruchomości
127,Wysoki standard*2 pokoje*Balkon 14 m2*Garaż,849 999 ,16 915 ,2 ,50.25  ,"ul. Kopalniana, Chrzanów, Bemowo, Warszawa, mazowieckie",Inwestycja deweloperska
128,Ustawne mieszkanie 8 min. od Kolejki.,599 000 ,10 540 ,2 ,56.83  ,"Skorosze, Ursus, Warszawa, mazowieckie",Biuro nieruchomości
129,mieszkanie 2 pokojowe Warszawa Ochota,530 000 ,13 947 ,2 ,38  ,"ul. Władysława Korotyńskiego, Rakowiec, Ochota, Warszawa, mazowieckie",Biuro nieruchomości
130,1-pokojowe mieszkanie 43m2 Bezpośrednio,1 042 000 ,24 188 ,1 ,43.08  ,"ul. Ciepła, Mirów, Wola, Warszawa, mazowieckie",Biuro nieruchomości
131,Zieleń. Kuchnia z oknem. Dwustronne. Ciche.,919 000 ,17 893 ,2 ,51.36  ,"ul. Józefa Lewartowskiego, Muranów, Śródmieście, Warszawa, mazowieckie",Biuro nieruchomości
132,Sprzedam apartament,1 080 000 ,20 259 ,2 ,53.31  ,"ul. Konstruktorska, Służewiec, Mokotów, Warszawa, mazowieckie",Biuro nieruchomości
133,Mieszkanie z genialnym widokiem na Pl. Konstytucji,1 750 000 ,21 373 ,2 ,81.88  ,"pl. Plac Konstytucji, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",Biuro nieruchomości
134,Apartament na Starym Mokotowie,1 750 000 ,21 290 ,2 ,82.2  ,"ul. Lewicka, Stary Mokotów, Mokotów, Warszawa, mazowieckie",Biuro nieruchomości
135,Jasne 4 pokojowe mieszkanie w zielonej części Woli,1 670 058 ,16 900 ,4 ,98.82  ,"ul. Józefa Sowińskiego, Ulrychów, Wola, Warszawa, mazowieckie",Biuro nieruchomości
136,"Piękne 3 pok. mieszkanie na Tarchomie, unikalne",725 000 ,12 845 ,3 ,56.44  ,"Tarchomin, Białołęka, Warszawa, mazowieckie",Biuro nieruchomości
137,Designerskie mieszkanie na Szczęśliwicach,2 657 066 ,28 900 ,3 ,91.94  ,"ul. Lutniowa, Szczęśliwice, Ochota, Warszawa, mazowieckie",Biuro nieruchomości
